"dt","country","metric","value"
2021-02-18,"England","deaths",377
2021-02-17,"England","deaths",638
2021-02-16,"England","deaths",733
2021-02-15,"England","deaths",210
2021-02-14,"England","deaths",228
2021-02-13,"England","deaths",544
2021-02-12,"England","deaths",657
2021-02-11,"England","deaths",594
2021-02-10,"England","deaths",926
2021-02-09,"England","deaths",974
2021-02-08,"England","deaths",304
2021-02-07,"England","deaths",329
2021-02-06,"England","deaths",724
2021-02-05,"England","deaths",892
2021-02-04,"England","deaths",817
2021-02-03,"England","deaths",1173
2021-02-02,"England","deaths",1356
2021-02-01,"England","deaths",368
2021-01-31,"England","deaths",528
2021-01-30,"England","deaths",1098
2021-01-29,"England","deaths",1124
2021-01-28,"England","deaths",1088
2021-01-27,"England","deaths",1568
2021-01-26,"England","deaths",1520
2021-01-25,"England","deaths",548
2021-01-24,"England","deaths",551
2021-01-23,"England","deaths",1233
2021-01-22,"England","deaths",1251
2021-01-21,"England","deaths",1134
2021-01-20,"England","deaths",1662
2021-01-19,"England","deaths",1507
2021-01-18,"England","deaths",560
2021-01-17,"England","deaths",598
2021-01-16,"England","deaths",1140
2021-01-15,"England","deaths",1139
2021-01-14,"England","deaths",1114
2021-01-13,"England","deaths",1400
2021-01-12,"England","deaths",1151
2021-01-11,"England","deaths",495
2021-01-10,"England","deaths",498
2021-01-09,"England","deaths",871
2021-01-08,"England","deaths",1156
2021-01-07,"England","deaths",1004
2021-01-06,"England","deaths",884
2021-01-05,"England","deaths",784
2021-01-04,"England","deaths",370
2021-01-03,"England","deaths",392
2021-01-02,"England","deaths",349
2021-01-01,"England","deaths",613
2020-12-31,"England","deaths",820
2020-12-30,"England","deaths",919
2020-12-29,"England","deaths",360
2020-12-28,"England","deaths",322
2020-12-27,"England","deaths",246
2020-12-26,"England","deaths",175
2020-12-25,"England","deaths",570
2020-12-24,"England","deaths",468
2020-12-23,"England","deaths",625
2020-12-22,"England","deaths",608
2020-12-21,"England","deaths",198
2020-12-20,"England","deaths",241
2020-12-19,"England","deaths",441
2020-12-18,"England","deaths",403
2020-12-17,"England","deaths",438
2020-12-16,"England","deaths",537
2020-12-15,"England","deaths",467
2020-12-14,"England","deaths",194
2020-12-13,"England","deaths",138
2020-12-12,"England","deaths",440
2020-12-11,"England","deaths",353
2020-12-10,"England","deaths",419
2020-12-09,"England","deaths",451
2020-12-08,"England","deaths",538
2020-12-07,"England","deaths",177
2020-12-06,"England","deaths",201
2020-12-05,"England","deaths",344
2020-12-04,"England","deaths",424
2020-12-03,"England","deaths",328
2020-12-02,"England","deaths",555
2020-12-01,"England","deaths",531
2020-11-30,"England","deaths",189
2020-11-29,"England","deaths",194
2020-11-28,"England","deaths",397
2020-11-27,"England","deaths",451
2020-11-26,"England","deaths",411
2020-11-25,"England","deaths",604
2020-11-24,"England","deaths",535
2020-11-23,"England","deaths",194
2020-11-22,"England","deaths",370
2020-11-21,"England","deaths",266
2020-11-20,"England","deaths",436
2020-11-19,"England","deaths",416
2020-11-18,"England","deaths",423
2020-11-17,"England","deaths",518
2020-11-16,"England","deaths",191
2020-11-15,"England","deaths",143
2020-11-14,"England","deaths",396
2020-11-13,"England","deaths",280
2020-11-12,"England","deaths",469
2020-11-11,"England","deaths",478
2020-11-10,"England","deaths",460
2020-11-09,"England","deaths",175
2020-11-08,"England","deaths",127
2020-11-07,"England","deaths",328
2020-11-06,"England","deaths",303
2020-11-05,"England","deaths",297
2020-11-04,"England","deaths",388
2020-11-03,"England","deaths",359
2020-11-02,"England","deaths",125
2020-11-01,"England","deaths",132
2020-10-31,"England","deaths",278
2020-10-30,"England","deaths",226
2020-10-29,"England","deaths",214
2020-10-28,"England","deaths",236
2020-10-27,"England","deaths",322
2020-10-26,"England","deaths",90
2020-10-25,"England","deaths",137
2020-10-24,"England","deaths",141
2020-10-23,"England","deaths",188
2020-10-22,"England","deaths",160
2020-10-21,"England","deaths",144
2020-10-20,"England","deaths",213
2020-10-19,"England","deaths",72
2020-10-18,"England","deaths",59
2020-10-17,"England","deaths",128
2020-10-16,"England","deaths",120
2020-10-15,"England","deaths",111
2020-10-14,"England","deaths",108
2020-10-13,"England","deaths",124
2020-10-12,"England","deaths",43
2020-10-11,"England","deaths",62
2020-10-10,"England","deaths",54
2020-10-09,"England","deaths",79
2020-10-08,"England","deaths",70
2020-10-07,"England","deaths",65
2020-10-06,"England","deaths",63
2020-10-05,"England","deaths",19
2020-10-04,"England","deaths",32
2020-10-03,"England","deaths",39
2020-10-02,"England","deaths",58
2020-10-01,"England","deaths",48
2020-09-30,"England","deaths",62
2020-09-29,"England","deaths",68
2020-09-28,"England","deaths",13
2020-09-27,"England","deaths",16
2020-09-26,"England","deaths",30
2020-09-25,"England","deaths",31
2020-09-24,"England","deaths",37
2020-09-23,"England","deaths",33
2020-09-22,"England","deaths",36
2020-09-21,"England","deaths",9
2020-09-20,"England","deaths",18
2020-09-19,"England","deaths",22
2020-09-18,"England","deaths",23
2020-09-17,"England","deaths",18
2020-09-16,"England","deaths",17
2020-09-15,"England","deaths",25
2020-09-14,"England","deaths",7
2020-09-13,"England","deaths",5
2020-09-12,"England","deaths",9
2020-09-11,"England","deaths",6
